代码,名称,总市值
806,银河退,3.79
809,和展能源,32.08
810,创维数字,140.71
812,陕西金叶,29.94
813,德展健康,79.89
815,美利云,148.37
816,智慧农业,43.33
817,辽河油田,17.5
818,航锦科技,114.92
819,岳阳兴长,58.12
820,*ST节能,11.49
821,ST京机,64.52
822,山东海化,48.6
823,超声电子,91.02
826,*ST启环,30.64
827,*ST长兴,0.34
828,东莞控股,109.46
829,天音控股,114.5
832,*ST龙涤,2.66
833,粤桂股份,122.73
835,长动退,1.14
836,ST富通,4.47
837,秦川机床,123.1
838,*ST发展,20.86
839,国安股份,131.31
848,承德露露,91.71
850,华茂股份,41.41
851,*ST高鸿,4.3
852,石化机械,68.2
856,冀东装备,23.29
859,国风新材,83.14
860,顺鑫农业,91.31
861,海印股份,14.87
862,银星能源,45.34
863,三湘印象,63.98
866,扬子石化,48.44
868,安凯客车,31.75
869,张  裕Ａ,87.7
880,潍柴重机,66.11
881,中广核技,73.02
882,华联股份,44.04
885,城发环境,90.02
886,海南高速,52.61
888,峨眉山Ａ,59.17
889,中嘉博创,44.01
890,法尔胜,56.13
892,欢瑞世纪,31.92
897,津滨发展,34.77
899,赣能股份,136.59
900,现代投资,62.99
903,ST云动,39.56
905,厦门港务,85.23
906,浙商中拓,46.77
908,ST景峰,65.81
909,*ST数源,21.14
910,大亚圣象,36.55
911,*ST广糖,23.22
912,泸天化,68.21
913,钱江摩托,68.39
915,华特达因,68.33
916,华北高速,96.14
917,电广传媒,121.9
918,*ST嘉凯,8.84
919,金陵药业,44.95
920,沃顿科技,54.11
922,佳电股份,97.45
923,河钢资源,113.52
925,众合科技,72.44
926,福星股份,33.67
928,中钢国际,94.25
929,*ST兰黄,20.38
930,中粮科技,106.18
931,中 关 村,34.85
936,华西股份,66.71
939,凯迪退,4.56
948,南天信息,58.61
949,新乡化纤,134.83
950,重药控股,117.69
952,广济药业,25.73
953,河化股份,25.3
955,欣龙控股,25.95
956,中原油气,30.37
957,中通客车,69.84
961,ST中南,21.34
965,天保基建,40.95
968,蓝焰控股,81.08
971,*ST高升,4.66
972,*ST中基,29.39
976,*ST华铁,6.54
978,桂林旅游,30.66
979,中弘退,18.46
980,众泰汽车,138.16
982,中银绒业,7.67
985,大庆华科,25.15
989,九芝堂,65.74
990,诚志股份,137.93
993,闽东电力,58.4
995,皇台酒业,24.45
996,中期退,1.31
998,隆平高科,120.27
1201,东瑞股份,25.95
1202,炬申股份,20.21
1205,盛航股份,25.49
1206,依依股份,20.14
1207,联科科技,58.93
1208,华菱线缆,64.48
1209,洪兴股份,21.59
1210,金房能源,23.16
1211,双枪科技,35.88
1212,中旗新材,101.32
1215,千味央厨,44.92
1216,华瓷股份,43.93
1217,华尔泰,37.81
1218,丽臣实业,33.01
1219,青岛食品,27.36
1220,世盟股份,8.83
1221,悍高集团,21.83
1222,源飞宠物,20.42
1223,欧克科技,29.18
1225,和泰机电,10.65
1226,拓山重工,16.66
1227,兰州银行,93.21
1228,永泰运,24.3
1229,魅视科技,19.36
1230,劲旅环境,22.55
1231,农心科技,12.81
1233,海安集团,21.23
1234,泰慕士,27.66
1236,弘业期货,72.85
1238,浙江正特,49.19
1239,永达股份,17.31
1255,博菲电气,25.0
1256,炜冈科技,26.76
1257,盛龙股份,35.83
1258,立新能源,90.53
1259,利仁科技,21.61
1260,坤泰股份,25.82
1266,宏英智能,25.9
1268,联合精密,28.13
1269,欧晶科技,43.68
1277,速达股份,17.01
1278,一彬科技,19.47
1279,强邦新材,13.29
1280,中国铀业,134.56
1282,三联锻造,16.33
1283,豪鹏科技,59.94
1285,瑞立科密,22.15
1288,运机集团,42.45
1296,长江材料,17.49
1298,好上好,54.7
1299,美能能源,32.39
1300,三柏硕,45.63
1301,尚太科技,146.16
1306,夏厦精密,11.07
1308,康冠科技,101.35
1311,多利科技,40.69
1312,福恩股份,14.33
1313,粤海饲料,60.41
1314,亿道信息,70.06
1316,润贝航科,66.15
1317,三羊马,50.61
1318,阳光乳业,37.2
1319,铭科精技,19.79
1322,箭牌家居,57.82
1323,慕思股份,76.54
1324,长青科技,16.82
1325,元创股份,10.25
1326,联域股份,13.72
1328,登康口腔,51.43
1330,博纳影业,104.77
1331,胜通能源,105.17
1332,锡装股份,30.96
1333,光华股份,11.09
1335,信凯科技,11.96
1336,楚环科技,14.78
1338,永顺泰,63.77
1339,智微智能,128.87
1356,富岭股份,22.59
1358,兴欣新材,14.84
1359,平安电工,50.33
1360,南矿集团,27.74
1366,播恩集团,24.66
1367,海森药业,29.86
1368,通达创智,31.5
1369,双欣材料,32.51
1373,翔腾新材,13.47
1376,百通能源,33.02
1378,德冠新材,17.91
1379,腾达科技,14.83
1380,华纬科技,16.83
1382,新亚电缆,13.65
1386,马可波罗,20.94
1387,雪祺电气,16.46
1388,信通电子,12.19
1390,古麒绒材,10.22
1391,国货航,80.22
1395,亚联机械,18.27
1396,誉帆科技,11.59
1400,江顺科技,62.91
